comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,resolution_b,resolution_method_b,ab_pdb_id_u,ab_chain_ids_u,ab_resolution_u,ab_resolution_method_u,ag_pdb_id_u,ag_chain_ids_u,ag_resolution_u,ag_resolution_method_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message
7chy_H+L-I,B:U,1,7chy,H+L,I,2,X-ray,7chy,H+L,2,X-ray,5R8F,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
7chy_H+L-I,B:U,2,7chy,H+L,I,2,X-ray,7chy,H+L,2,X-ray,5R8P,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
7chy_H+L-I,B:U,3,7chy,H+L,I,2,X-ray,7chy,H+L,2,X-ray,6Y8M,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
7chy_H+L-I,B:U,4,7chy,H+L,I,2,X-ray,7chy,H+L,2,X-ray,6Y8I,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5h8o_A-B,U:U,0,5h8o,A,B,4,X-ray,5H8D,A,1,X-ray,6KI0,A,2,X-ray,0,0,NA
5h8o_A-B,U:U,1,5h8o,A,B,4,X-ray,5H8D,A,1,X-ray,6KI0,B,2,X-ray,0,0,NA
5h8o_A-B,U:U,2,5h8o,A,B,4,X-ray,5H8D,A,1,X-ray,2KN6,A,100,UNKNOWN,0,0,NA
3nfp_A+B-K,U:U,0,3nfp,A+B,K,2,X-ray,3NFS,H+L,2,X-ray,6VWU,A,3,X-ray,0,0,NA
5j57_B-A,B:U,0,5j57,B,A,1,X-ray,5j57,B,1,X-ray,4HUO,X,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5j57_B-A,B:U,1,5j57,B,A,1,X-ray,5j57,B,1,X-ray,6URX,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5j57_B-A,B:U,2,5j57,B,A,1,X-ray,5j57,B,1,X-ray,4HV7,X,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5j57_B-A,B:U,3,5j57,B,A,1,X-ray,5j57,B,1,X-ray,4MX5,X,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5j57_B-A,B:U,4,5j57,B,A,1,X-ray,5j57,B,1,X-ray,6URY,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5j57_B-A,B:U,5,5j57,B,A,1,X-ray,5j57,B,1,X-ray,6URY,B,1,X-ray,0,0,NA
7dm2_H+L-A,B:U,0,7dm2,H+L,A,2,X-ray,7dm2,H+L,2,X-ray,1PC3,A,2,X-ray,0,0,NA
7dm2_H+L-A,B:U,1,7dm2,H+L,A,2,X-ray,7dm2,H+L,2,X-ray,1PC3,B,2,X-ray,0,0,NA
6ukt_F-B,B:U,0,6ukt,F,B,3,EM,6ukt,F,3,EM,1BOF,A,2,X-ray,0,0,NA
6ukt_F-B,B:U,1,6ukt,F,B,3,EM,6ukt,F,3,EM,1GFI,A,2,X-ray,0,0,NA
6ukt_F-B,B:U,2,6ukt,F,B,3,EM,6ukt,F,3,EM,1GDD,A,2,X-ray,0,0,NA
6ukt_F-B,B:U,3,6ukt,F,B,3,EM,6ukt,F,3,EM,1GIA,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
6ukt_F-B,B:U,4,6ukt,F,B,3,EM,6ukt,F,3,EM,1CIP,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5dum_H+L-A,B:U,0,5dum,H+L,A,3,X-ray,5dum,H+L,3,X-ray,5DUT,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
3stb_B-C,B:U,0,3stb,B,C,2,X-ray,3stb,B,2,X-ray,4DNI,A,2,X-ray,0,0,NA
1zvy_A-B,U:U,0,1zvy,A,B,1,X-ray,6JB9,A,1,X-ray,7BYP,A,1,X-ray,0,0,NA
1zvy_A-B,U:U,1,1zvy,A,B,1,X-ray,6JB9,A,1,X-ray,7CDO,A,1,X-ray,0,0,NA
1zvy_A-B,U:U,2,1zvy,A,B,1,X-ray,6JB9,A,1,X-ray,7CDM,A,1,X-ray,0,0,NA
6iek_B+C-A,B:U,0,6iek,B+C,A,2,X-ray,6iek,B+C,2,X-ray,5Y0W,A,2,X-ray,0,0,NA
6iek_B+C-A,B:U,1,6iek,B+C,A,2,X-ray,6iek,B+C,2,X-ray,5Y0Y,A,3,X-ray,0,0,NA
5vl7_H+L-B,B:U,1,5vl7,H+L,B,3,X-ray,5vl7,H+L,3,X-ray,2P4E,A,1,X-ray,0,0,NA
5vl7_H+L-B,B:U,3,5vl7,H+L,B,3,X-ray,5vl7,H+L,3,X-ray,6U26,B,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4yga_H-G,B:U,0,4yga,H,G,2,X-ray,4yga,H,2,X-ray,3I7B,A,1,X-ray,0,3,small molecules with n_atoms > 15 detected
4yga_H-G,B:U,1,4yga,H,G,2,X-ray,4yga,H,2,X-ray,3HX4,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4yga_H-G,B:U,2,4yga,H,G,2,X-ray,4yga,H,2,X-ray,4JBV,A,1,X-ray,0,3,small molecules with n_atoms > 15 detected
4yga_H-G,B:U,3,4yga,H,G,2,X-ray,4yga,H,2,X-ray,3NYV,A,1,X-ray,0,3,small molecules with n_atoms > 15 detected
4yga_H-G,B:U,4,4yga,H,G,2,X-ray,4yga,H,2,X-ray,3V51,A,1,X-ray,0,3,small molecules with n_atoms > 15 detected
3kr3_H+L-D,B:U,0,3kr3,H+L,D,2,X-ray,3kr3,H+L,2,X-ray,1IGL,A,100,UNKNOWN,0,0,NA
3kr3_H+L-D,B:U,1,3kr3,H+L,D,2,X-ray,3kr3,H+L,2,X-ray,5L3L,A,100,UNKNOWN,0,0,NA
3hmx_H+L-A,U:U,0,3hmx,H+L,A,3,X-ray,3HMW,H+L,3,X-ray,1F42,A,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
6bck_H+L-G,B:U,0,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4DKO,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,1,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4DKO,C,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,2,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4RZ8,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,3,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4RZ8,B,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,4,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4RZ8,C,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,5,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4RZ8,D,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,6,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4DVV,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,7,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4DVV,B,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,8,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4DKP,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,9,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4DKP,C,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bck_H+L-G,B:U,10,6bck,H+L,G,2,X-ray,6bck,H+L,2,X-ray,4DKQ,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6iap_H+L-A,B:U,0,6iap,H+L,A,2,X-ray,6iap,H+L,2,X-ray,1OLL,A,1,X-ray,0,0,NA
6iap_H+L-A,B:U,1,6iap,H+L,A,2,X-ray,6iap,H+L,2,X-ray,1P6F,A,2,X-ray,0,0,NA
4u3x_C-D,B:U,0,4u3x,C,D,2,X-ray,4u3x,C,2,X-ray,7BYP,A,1,X-ray,0,0,NA
4u3x_C-D,B:U,1,4u3x,C,D,2,X-ray,4u3x,C,2,X-ray,7CDO,A,1,X-ray,0,0,NA
4u3x_C-D,B:U,2,4u3x,C,D,2,X-ray,4u3x,C,2,X-ray,7CDM,A,1,X-ray,0,0,NA
4nnp_H+L-A,B:U,0,4nnp,H+L,A,2,X-ray,4nnp,H+L,2,X-ray,4K3V,A,2,X-ray,0,0,NA
4nnp_H+L-A,B:U,1,4nnp,H+L,A,2,X-ray,4nnp,H+L,2,X-ray,4K3V,B,2,X-ray,0,0,NA
4nnp_H+L-A,B:U,2,4nnp,H+L,A,2,X-ray,4nnp,H+L,2,X-ray,4NNO,A,1,X-ray,0,0,NA
5cba_A+B-E,B:U,0,5cba,A+B,E,2,X-ray,5cba,A+B,2,X-ray,6VGJ,A,2,X-ray,0,0,NA
5cba_A+B-E,B:U,1,5cba,A+B,E,2,X-ray,5cba,A+B,2,X-ray,6VGJ,B,2,X-ray,0,0,NA
5cba_A+B-E,B:U,2,5cba,A+B,E,2,X-ray,5cba,A+B,2,X-ray,6VGJ,C,2,X-ray,0,0,NA
5cba_A+B-E,B:U,3,5cba,A+B,E,2,X-ray,5cba,A+B,2,X-ray,6VGJ,D,2,X-ray,0,0,NA
5cba_A+B-E,B:U,4,5cba,A+B,E,2,X-ray,5cba,A+B,2,X-ray,6VGJ,E,2,X-ray,0,0,NA
5cba_A+B-E,B:U,5,5cba,A+B,E,2,X-ray,5cba,A+B,2,X-ray,6VGJ,F,2,X-ray,0,0,NA
5cba_A+B-E,B:U,6,5cba,A+B,E,2,X-ray,5cba,A+B,2,X-ray,6VGJ,G,2,X-ray,0,0,NA
5cba_A+B-E,B:U,7,5cba,A+B,E,2,X-ray,5cba,A+B,2,X-ray,7JNY,A,1,X-ray,0,0,NA
5jmo_C-A,U:U,0,5jmo,C,A,2,X-ray,5JMR,A,2,X-ray,7O1U,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5jmo_C-A,U:U,1,5jmo,C,A,2,X-ray,5JMR,B,2,X-ray,7O1U,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5jmo_C-A,U:U,2,5jmo,C,A,2,X-ray,5JMR,A,2,X-ray,7O22,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5jmo_C-A,U:U,3,5jmo,C,A,2,X-ray,5JMR,B,2,X-ray,7O22,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5jmo_C-A,U:U,4,5jmo,C,A,2,X-ray,5JMR,A,2,X-ray,7O1W,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5jmo_C-A,U:U,5,5jmo,C,A,2,X-ray,5JMR,B,2,X-ray,7O1W,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5jmo_C-A,U:U,6,5jmo,C,A,2,X-ray,5JMR,A,2,X-ray,7O1Y,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5jmo_C-A,U:U,7,5jmo,C,A,2,X-ray,5JMR,B,2,X-ray,7O1Y,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5jmo_C-A,U:U,8,5jmo,C,A,2,X-ray,5JMR,A,2,X-ray,7O20,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5jmo_C-A,U:U,9,5jmo,C,A,2,X-ray,5JMR,B,2,X-ray,7O20,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4hkx_A+B-E,B:U,0,4hkx,A+B,E,2,X-ray,4hkx,A+B,2,X-ray,6CHX,A,1,X-ray,0,0,NA
4hkx_A+B-E,B:U,1,4hkx,A+B,E,2,X-ray,4hkx,A+B,2,X-ray,6CHX,B,1,X-ray,0,0,NA
6war_D-C,B:U,0,6war,D,C,3,X-ray,6war,D,3,X-ray,4ZPW,R,3,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
6war_D-C,B:U,1,6war,D,C,3,X-ray,6war,D,3,X-ray,4ZPW,S,3,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
6jep_K+I-F,B:U,0,6jep,K+I,F,2,X-ray,6jep,K+I,2,X-ray,5OMZ,A,100,UNKNOWN,0,0,NA
4rgn_B+C-A,B:U,0,4rgn,B+C,A,2,X-ray,4rgn,B+C,2,X-ray,3SEB,A,1,X-ray,0,0,NA
4rgn_B+C-A,B:U,1,4rgn,B+C,A,2,X-ray,4rgn,B+C,2,X-ray,1SE3,A,2,X-ray,0,0,NA
4rgn_B+C-A,B:U,2,4rgn,B+C,A,2,X-ray,4rgn,B+C,2,X-ray,1SE4,A,1,X-ray,0,0,NA
7kjh_A-C,B:U,0,7kjh,A,C,2,X-ray,7kjh,A,2,X-ray,7KJ7,B,2,X-ray,0,0,small molecules with n_atoms > 15 detected
7kjh_A-C,B:U,1,7kjh,A,C,2,X-ray,7kjh,A,2,X-ray,7KJ7,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
4x7d_C-B,B:U,0,4x7d,C,B,2,X-ray,4x7d,C,2,X-ray,4OOS,A,1,X-ray,0,0,NA
4m1c_E+F-B,B:U,0,4m1c,E+F,B,3,X-ray,4m1c,E+F,3,X-ray,4GS8,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
4m1c_E+F-B,B:U,1,4m1c,E+F,B,3,X-ray,4m1c,E+F,3,X-ray,4GS8,B,2,X-ray,0,0,small molecules with n_atoms > 15 detected
4m1c_E+F-B,B:U,2,4m1c,E+F,B,3,X-ray,4m1c,E+F,3,X-ray,4GSC,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
4m1c_E+F-B,B:U,3,4m1c,E+F,B,3,X-ray,4m1c,E+F,3,X-ray,4GSC,B,2,X-ray,0,0,small molecules with n_atoms > 15 detected
4m1c_E+F-B,B:U,4,4m1c,E+F,B,3,X-ray,4m1c,E+F,3,X-ray,4NXO,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
4m1c_E+F-B,B:U,5,4m1c,E+F,B,3,X-ray,4m1c,E+F,3,X-ray,4NXO,B,2,X-ray,0,0,small molecules with n_atoms > 15 detected
2q8a_H+L-A,B:U,0,2q8a,H+L,A,2,X-ray,2q8a,H+L,2,X-ray,4R1C,A,2,X-ray,0,0,NA
2q8a_H+L-A,B:U,1,2q8a,H+L,A,2,X-ray,2q8a,H+L,2,X-ray,4R1C,B,2,X-ray,0,0,NA
2q8a_H+L-A,B:U,2,2q8a,H+L,A,2,X-ray,2q8a,H+L,2,X-ray,4R19,A,1,X-ray,0,0,NA
2q8a_H+L-A,B:U,3,2q8a,H+L,A,2,X-ray,2q8a,H+L,2,X-ray,4R19,B,1,X-ray,0,0,NA
2q8a_H+L-A,B:U,4,2q8a,H+L,A,2,X-ray,2q8a,H+L,2,X-ray,4R1B,A,1,X-ray,0,0,NA
6w7s_H+L-A,B:U,0,6w7s,H+L,A,2,X-ray,6w7s,H+L,2,X-ray,2FR0,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6w7s_H+L-A,B:U,1,6w7s,H+L,A,2,X-ray,6w7s,H+L,2,X-ray,2FR1,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
7o06_A-C,B:U,0,7o06,A,C,1,X-ray,7o06,A,1,X-ray,7NWJ,A,100,UNKNOWN,0,0,NA
6svl_A+B-C,B:U,0,6svl,A+B,C,1,X-ray,6svl,A+B,1,X-ray,6O6W,A,100,UNKNOWN,0,0,NA
6svl_A+B-C,B:U,1,6svl,A+B,C,1,X-ray,6svl,A+B,1,X-ray,6SVK,A,1,X-ray,0,0,NA
6svl_A+B-C,B:U,2,6svl,A+B,C,1,X-ray,6svl,A+B,1,X-ray,6SVK,B,1,X-ray,0,0,NA
4lhq_B-A,B:U,0,4lhq,B,A,2,X-ray,4lhq,B,2,X-ray,4HUO,X,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4lhq_B-A,B:U,1,4lhq,B,A,2,X-ray,4lhq,B,2,X-ray,6URX,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4lhq_B-A,B:U,2,4lhq,B,A,2,X-ray,4lhq,B,2,X-ray,4HV7,X,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4lhq_B-A,B:U,3,4lhq,B,A,2,X-ray,4lhq,B,2,X-ray,4MX5,X,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4lhq_B-A,B:U,4,4lhq,B,A,2,X-ray,4lhq,B,2,X-ray,6URY,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4lhq_B-A,B:U,5,4lhq,B,A,2,X-ray,4lhq,B,2,X-ray,6URY,B,1,X-ray,0,0,NA
4eiz_C-B,B:U,0,4eiz,C,B,2,X-ray,4eiz,C,2,X-ray,7LVC,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4eiz_C-B,B:U,1,4eiz,C,B,2,X-ray,4eiz,C,2,X-ray,4PSS,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
4eiz_C-B,B:U,2,4eiz,C,B,2,X-ray,4eiz,C,2,X-ray,4PSY,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
4eiz_C-B,B:U,3,4eiz,C,B,2,X-ray,4eiz,C,2,X-ray,7D6G,A,1,Multiple methods,0,0,small molecules with n_atoms > 15 detected
4eiz_C-B,B:U,4,4eiz,C,B,2,X-ray,4eiz,C,2,X-ray,4PTH,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
2wub_R+Q-C,B:U,0,2wub,R+Q,C,2,X-ray,2wub,R+Q,2,X-ray,1YBW,A,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
2wub_R+Q-C,B:U,1,2wub,R+Q,C,2,X-ray,2wub,R+Q,2,X-ray,1YBW,B,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
6ba5_F+E-O,B:U,0,6ba5,F+E,O,1,X-ray,6ba5,F+E,1,X-ray,5Z55,A,100,UNKNOWN,0,0,NA
4jpw_H+L-G,B:U,0,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4DKO,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,1,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4DKO,C,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,2,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4RZ8,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,3,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4RZ8,B,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,4,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4RZ8,C,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,5,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4RZ8,D,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,6,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4DVV,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,7,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4DVV,B,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,8,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4DKP,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,9,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4DKP,C,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4jpw_H+L-G,B:U,10,4jpw,H+L,G,2,X-ray,4jpw,H+L,2,X-ray,4DKQ,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6osv_H+L-K,B:U,0,6osv,H+L,K,1,X-ray,6osv,H+L,1,X-ray,6OSN,A,1,X-ray,0,1,NA
4nnp_X+Y-B,B:U,0,4nnp,X+Y,B,2,X-ray,4nnp,X+Y,2,X-ray,4K3V,A,2,X-ray,0,0,NA
4nnp_X+Y-B,B:U,1,4nnp,X+Y,B,2,X-ray,4nnp,X+Y,2,X-ray,4K3V,B,2,X-ray,0,0,NA
4nnp_X+Y-B,B:U,2,4nnp,X+Y,B,2,X-ray,4nnp,X+Y,2,X-ray,4NNO,A,1,X-ray,0,0,NA
4xnz_E+F-D,B:U,0,4xnz,E+F,D,3,X-ray,4xnz,E+F,3,X-ray,3TGT,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4dgi_H+L-A,B:U,0,4dgi,H+L,A,2,X-ray,4dgi,H+L,2,X-ray,5L6R,A,100,UNKNOWN,0,0,NA
4dgi_H+L-A,B:U,1,4dgi,H+L,A,2,X-ray,4dgi,H+L,2,X-ray,6DU9,A,2,X-ray,0,0,NA
4dgi_H+L-A,B:U,2,4dgi,H+L,A,2,X-ray,4dgi,H+L,2,X-ray,5YJ5,A,100,UNKNOWN,0,0,NA
6s8d_Y+U-E,B:U,0,6s8d,Y+U,E,3,EM,6s8d,Y+U,3,EM,2LCY,A,100,UNKNOWN,0,0,NA
6s8d_Y+U-E,B:U,1,6s8d,Y+U,E,3,EM,6s8d,Y+U,3,EM,2LCZ,A,100,UNKNOWN,0,0,NA
3jwd_P+O-B,U:U,0,3jwd,P+O,B,2,X-ray,1RZ7,H+L,2,X-ray,1WIO,A,3,X-ray,0,0,NA
3jwd_P+O-B,U:U,1,3jwd,P+O,B,2,X-ray,1RZ7,H+L,2,X-ray,1WIO,B,3,X-ray,0,0,NA
3jwd_P+O-B,U:U,2,3jwd,P+O,B,2,X-ray,1RZ7,H+L,2,X-ray,1WIQ,A,5,X-ray,0,0,NA
3jwd_P+O-B,U:U,3,3jwd,P+O,B,2,X-ray,1RZ7,H+L,2,X-ray,1WIQ,B,5,X-ray,0,0,NA
3jwd_P+O-B,U:U,4,3jwd,P+O,B,2,X-ray,1RZ7,H+L,2,X-ray,1WIP,A,4,X-ray,0,0,NA
3jwd_P+O-B,U:U,5,3jwd,P+O,B,2,X-ray,1RZ7,H+L,2,X-ray,1WIP,B,4,X-ray,0,0,NA
5grj_H+L-A,U:U,0,5grj,H+L,A,3,X-ray,4NKI,H+L,2,X-ray,3BIS,A,2,X-ray,0,0,NA
5grj_H+L-A,U:U,1,5grj,H+L,A,3,X-ray,4NKI,H+L,2,X-ray,3BIS,B,2,X-ray,0,0,NA
4x7d_D-A,B:U,0,4x7d,D,A,2,X-ray,4x7d,D,2,X-ray,4OOS,A,1,X-ray,0,0,NA
1g7m_B+A-C,B:U,0,1g7m,B+A,C,1,X-ray,1g7m,B+A,1,X-ray,7BYP,A,1,X-ray,0,0,NA
1g7m_B+A-C,B:U,1,1g7m,B+A,C,1,X-ray,1g7m,B+A,1,X-ray,7CDO,A,1,X-ray,0,0,NA
1g7m_B+A-C,B:U,2,1g7m,B+A,C,1,X-ray,1g7m,B+A,1,X-ray,7CDM,A,1,X-ray,0,0,NA
6wxl_H+L-B+A,B:U,0,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN3,B+A,2,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,1,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN3,D+C,2,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,2,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN3,F+E,2,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,3,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN3,H+G,2,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,4,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN3,J+I,2,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,5,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN3,L+K,2,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,6,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN4,B+A,3,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,7,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN4,D+C,3,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,8,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN4,F+E,3,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,9,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN4,H+G,3,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,10,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN4,J+I,3,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
6wxl_H+L-B+A,B:U,11,6wxl,H+L,B+A,2,EM,6wxl,H+L,2,EM,4LN4,L+K,3,X-ray,0,3,small molecules with 7 < n_atoms <= 15 detected
5wk3_W+V-D,U:U,0,5wk3,W+V,D,1,X-ray,5WK2,H+L,1,X-ray,1NR2,A,2,X-ray,0,1,small molecules with 7 < n_atoms <= 15 detected
5wk3_W+V-D,U:U,1,5wk3,W+V,D,1,X-ray,5WK2,H+L,1,X-ray,1NR2,B,2,X-ray,0,1,small molecules with 7 < n_atoms <= 15 detected
3u30_F+E-D,B:U,0,3u30,F+E,D,2,X-ray,3u30,F+E,2,X-ray,2W9N,A,2,X-ray,0,0,NA
3u30_F+E-D,B:U,1,3u30,F+E,D,2,X-ray,3u30,F+E,2,X-ray,3AXC,A,2,X-ray,0,0,NA
6txz_J+N-C,B:U,0,6txz,J+N,C,3,X-ray,6txz,J+N,3,X-ray,5F71,A,2,X-ray,0,0,NA
6txz_J+N-C,B:U,1,6txz,J+N,C,3,X-ray,6txz,J+N,3,X-ray,5F71,B,2,X-ray,0,0,NA
3pnw_K+J-L,B:U,0,3pnw,K+J,L,2,X-ray,3pnw,K+J,2,X-ray,3S6W,A,1,X-ray,0,0,NA
3pnw_K+J-L,B:U,1,3pnw,K+J,L,2,X-ray,3pnw,K+J,2,X-ray,5YJ8,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
3pnw_K+J-L,B:U,2,3pnw,K+J,L,2,X-ray,3pnw,K+J,2,X-ray,3PMT,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4ut9_H+L-A,B:U,0,4ut9,H+L,A,3,X-ray,4ut9,H+L,3,X-ray,4UTC,A,3,X-ray,0,0,NA
4ut9_H+L-A,B:U,1,4ut9,H+L,A,3,X-ray,4ut9,H+L,3,X-ray,4UTC,B,3,X-ray,0,0,NA
7kbt_E+F-A,B:U,0,7kbt,E+F,A,4,X-ray,7kbt,E+F,4,X-ray,6MF0,A,3,X-ray,0,0,NA
1fe8_H+L-A,B:U,0,1fe8,H+L,A,2,X-ray,1fe8,H+L,2,X-ray,1ATZ,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1fe8_H+L-A,B:U,1,1fe8,H+L,A,2,X-ray,1fe8,H+L,2,X-ray,1ATZ,B,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1fe8_H+L-A,B:U,2,1fe8,H+L,A,2,X-ray,1fe8,H+L,2,X-ray,1AO3,A,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
